message,emotion,tokens
I finally passed the exam I was so stressed about,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'finally', 'passed', 'the', 'exam', 'I', 'was', 'so', 'stressed', 'about']"
Alhamdulillah! I finally got an A for my project. I'm so happy,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Alhamdulillah', '!', 'I', 'finally', 'got', 'an', 'A', 'for', 'my', 'project', '.', 'I', ""'m"", 'so', 'happy']"
Tomarrow's lecture cancel,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Tomarrow', ""'s"", 'lecture', 'cancel']"
I am so excited,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'am', 'so', 'excited']"
I’m so happy today! I passed all my subjects in the exam! 😊🎉,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', '’', 'm', 'so', 'happy', 'today', '!', 'I', 'passed', 'all', 'my', 'subjects', 'in', 'the', 'exam', '!', '😊🎉']"
heyyyyyyyyyyyy,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)",['heyyyyyyyyyyyy']
I pass the exam,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'pass', 'the', 'exam']"
"I have just finished a book, I feel so good.","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'have', 'just', 'finished', 'a', 'book', ',', 'I', 'feel', 'so', 'good', '.']"
How are you,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['How', 'are', 'you']"
Just had a surprise lunch with my best friends after months apart — laughed nonstop and made the best memories. My heart is so full! ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Just', 'had', 'a', 'surprise', 'lunch', 'with', 'my', 'best', 'friends', 'after', 'months', 'apart', '—', 'laughed', 'nonstop', 'and', 'made', 'the', 'best', 'memories', '.', 'My', 'heart', 'is', 'so', 'full', '!']"
I did really well in my presentation. I’m so happy,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'did', 'really', 'well', 'in', 'my', 'presentation', '.', 'I', '’', 'm', 'so', 'happy']"
Happy ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)",['Happy']
"I'm so happy today,everything feels just right!","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', ""'m"", 'so', 'happy', 'today', ',', 'everything', 'feels', 'just', 'right', '!']"
I'm happy to see you,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', ""'m"", 'happy', 'to', 'see', 'you']"
Pass the semester exam,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Pass', 'the', 'semester', 'exam']"
happy,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)",['happy']
"Everything feels light and positive today. I’m genuinely enjoying every moment!

","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Everything', 'feels', 'light', 'and', 'positive', 'today', '.', 'I', '’', 'm', 'genuinely', 'enjoying', 'every', 'moment', '!']"
Thinking about my lover fills my heart with joy.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Thinking', 'about', 'my', 'lover', 'fills', 'my', 'heart', 'with', 'joy', '.']"
I have pass the exam,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'have', 'pass', 'the', 'exam']"
There is a dj tonight at the university ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['There', 'is', 'a', 'dj', 'tonight', 'at', 'the', 'university']"
When my bike has a full tank of petrol ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['When', 'my', 'bike', 'has', 'a', 'full', 'tank', 'of', 'petrol']"
I'm happy,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', ""'m"", 'happy']"
When we have a vacation ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['When', 'we', 'have', 'a', 'vacation']"
I am feeling joy,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'am', 'feeling', 'joy']"
"I'm so happy! Everything feels perfect,and I can't stop smiling.life is beautiful ","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', ""'m"", 'so', 'happy', '!', 'Everything', 'feels', 'perfect', ',', 'and', 'I', 'ca', ""n't"", 'stop', 'smiling.life', 'is', 'beautiful']"
The next book of my favourite book series gets published. ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['The', 'next', 'book', 'of', 'my', 'favourite', 'book', 'series', 'gets', 'published', '.']"
I’m feeling absolutely wonderful today! ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', '’', 'm', 'feeling', 'absolutely', 'wonderful', 'today', '!']"
 I have got selected for a course of study,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'have', 'got', 'selected', 'for', 'a', 'course', 'of', 'study']"
All praise be to to almighty. ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['All', 'praise', 'be', 'to', 'to', 'almighty', '.']"
With my friends ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['With', 'my', 'friends']"
Be happy always ✌️,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Be', 'happy', 'always', '✌️']"
When I visit foreign ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['When', 'I', 'visit', 'foreign']"
I'm talking with my favourite person ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', ""'m"", 'talking', 'with', 'my', 'favourite', 'person']"
Every thing is very well ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Every', 'thing', 'is', 'very', 'well']"
I am watching cricket ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'am', 'watching', 'cricket']"
With my family,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['With', 'my', 'family']"
I received a surprise birthday gift from my loved ones,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'received', 'a', 'surprise', 'birthday', 'gift', 'from', 'my', 'loved', 'ones']"
Today i had a great time with my best friend,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Today', 'i', 'had', 'a', 'great', 'time', 'with', 'my', 'best', 'friend']"
All praise be to god,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['All', 'praise', 'be', 'to', 'god']"
"I'm feeling so incredibly happy right now! Everything just feels right, and I can't stop smiling. Today is truly a good day!","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', ""'m"", 'feeling', 'so', 'incredibly', 'happy', 'right', 'now', '!', 'Everything', 'just', 'feels', 'right', ',', 'and', 'I', 'ca', ""n't"", 'stop', 'smiling', '.', 'Today', 'is', 'truly', 'a', 'good', 'day', '!']"
I am in happy mood today,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'am', 'in', 'happy', 'mood', 'today']"
 I’m feeling so happy right now,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', '’', 'm', 'feeling', 'so', 'happy', 'right', 'now']"
 I'm feeling so happy today! Everything just feels bright and full of possibilities. Grateful for the little things that bring big smiles! 😊,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', ""'m"", 'feeling', 'so', 'happy', 'today', '!', 'Everything', 'just', 'feels', 'bright', 'and', 'full', 'of', 'possibilities', '.', 'Grateful', 'for', 'the', 'little', 'things', 'that', 'bring', 'big', 'smiles', '!', '😊']"
When someone says they love my character ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['When', 'someone', 'says', 'they', 'love', 'my', 'character']"
I am going on a trip next week,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'am', 'going', 'on', 'a', 'trip', 'next', 'week']"
I feel incredibly happy today. Alhamdhulilllahh...,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'feel', 'incredibly', 'happy', 'today', '.', 'Alhamdhulilllahh', '...']"
Just booked my dream trip! So excited,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Just', 'booked', 'my', 'dream', 'trip', '!', 'So', 'excited']"
Today feels amazing! I’m just overflowing with happiness and gratitude,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Today', 'feels', 'amazing', '!', 'I', '’', 'm', 'just', 'overflowing', 'with', 'happiness', 'and', 'gratitude']"
"
I'm so happy right now! I can't stop smiling","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', ""'m"", 'so', 'happy', 'right', 'now', '!', 'I', 'ca', ""n't"", 'stop', 'smiling']"
When seeing life partner ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['When', 'seeing', 'life', 'partner']"
I’m so excited,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', '’', 'm', 'so', 'excited']"
My friend found a good partner ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['My', 'friend', 'found', 'a', 'good', 'partner']"
Hehe 😍,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Hehe', '😍']"
"I met my boyfriend after one year, and I felt very happy...","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'met', 'my', 'boyfriend', 'after', 'one', 'year', ',', 'and', 'I', 'felt', 'very', 'happy', '...']"
Waw... ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Waw', '...']"
University life is over i am so happy,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['University', 'life', 'is', 'over', 'i', 'am', 'so', 'happy']"
I am selected for a foreign university ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'am', 'selected', 'for', 'a', 'foreign', 'university']"
Yaaaayyyyy I’m super excited ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Yaaaayyyyy', 'I', '’', 'm', 'super', 'excited']"
I'm so happy to let you know that I've passed all the subjects and I'm eligible to writer the next semester exams. I don't even remember how I managed to answer all those questions. 😅,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', ""'m"", 'so', 'happy', 'to', 'let', 'you', 'know', 'that', 'I', ""'ve"", 'passed', 'all', 'the', 'subjects', 'and', 'I', ""'m"", 'eligible', 'to', 'writer', 'the', 'next', 'semester', 'exams', '.', 'I', 'do', ""n't"", 'even', 'remember', 'how', 'I', 'managed', 'to', 'answer', 'all', 'those', 'questions', '.', '😅']"
"Had soo much fun, much needed. ","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Had', 'soo', 'much', 'fun', ',', 'much', 'needed', '.']"
Enjoy,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)",['Enjoy']
"""I just got my results and I passed with flying colors! I'm so happy and relieved right now!""","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['``', 'I', 'just', 'got', 'my', 'results', 'and', 'I', 'passed', 'with', 'flying', 'colors', '!', 'I', ""'m"", 'so', 'happy', 'and', 'relieved', 'right', 'now', '!', ""''""]"
Hurray,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)",['Hurray']
"Hey dude, you did your best","Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Hey', 'dude', ',', 'you', 'did', 'your', 'best']"
That made may day,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['That', 'made', 'may', 'day']"
When we having a good which is our favorite ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['When', 'we', 'having', 'a', 'good', 'which', 'is', 'our', 'favorite']"
I finally finished my assignment before the deadline! Feeling so happy and relieved,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', 'finally', 'finished', 'my', 'assignment', 'before', 'the', 'deadline', '!', 'Feeling', 'so', 'happy', 'and', 'relieved']"
When I arrange to go on atrip,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['When', 'I', 'arrange', 'to', 'go', 'on', 'atrip']"
I'm feeling really happy today! Everything just feels good.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['I', ""'m"", 'feeling', 'really', 'happy', 'today', '!', 'Everything', 'just', 'feels', 'good', '.']"
Just feeling really happy right now—had to say it. Hope you're having a good day too!,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Just', 'feeling', 'really', 'happy', 'right', 'now—had', 'to', 'say', 'it', '.', 'Hope', 'you', ""'re"", 'having', 'a', 'good', 'day', 'too', '!']"
Feeling really happy today—just one of those good days where everything feels right.,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Feeling', 'really', 'happy', 'today—just', 'one', 'of', 'those', 'good', 'days', 'where', 'everything', 'feels', 'right', '.']"
alhamdulillah ,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)",['alhamdulillah']
Hey what's up?😉,"Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)","['Hey', 'what', ""'s"", 'up', '?', '😉']"
